unique_id,painting,emotional_intensity,evokes_sombre,evokes_content,evokes_calm,evokes_uneasy,prominent_colour_count,prominent_object_count,place_bedroom,place_office,place_living_room,place_dining_room,view_friends,view_family,view_coworkers,view_by_yourself,like_fall,like_winter,like_spring,like_summer,monetary_value,text_clock_feels,text_clock_food,text_clock_music,text_starry_feels,text_starry_food,text_starry_music,text_lilies_feels,text_lilies_food,text_lilies_music
67,The Persistence of Memory,8,5,1,3,4,3,6,0,0,1,0,1,0,0,1,1,0,0,0,500.0,0.15483045425463854,0.042363433667781496,0.0696153846153846,0.009930486593843098,0.006936416184971098,0.04324801412180053,0.0035696073431922487,0.009345794392523364,0.02582866982350409
68,The Persistence of Memory,8,4,1,3,4,5,7,0,1,0,0,0,0,0,1,1,0,0,0,2000.0,0.09085092770313498,0.004459308807134894,0.02961538461538462,0.03227408142999007,0.0,0.00970873786407767,0.03569607343192249,0.0011682242990654205,0.007318123116659492
69,The Persistence of Memory,8,5,2,2,5,4,4,0,0,1,0,1,0,0,0,1,0,0,0,6000000.0,0.3160588611644274,0.024526198439241916,0.11230769230769232,0.044687189672293945,0.03005780346820809,0.059135039717564,0.01937786843447221,0.0011682242990654205,0.06112785191562635
71,The Persistence of Memory,6,4,2,3,5,4,6,0,1,1,0,0,0,0,1,0,0,0,1,10.0,0.030070377479206656,0.002229654403567447,0.04807692307692307,0.015888778550148957,0.0011560693641618498,0.059135039717563995,0.007649158592554819,0.002336448598130841,0.04175634954799828
72,The Persistence of Memory,8,2,4,5,2,4,5,1,0,1,1,1,1,0,1,0,0,1,1,1000.0,0.005118362124120281,0.004459308807134894,0.06461538461538462,0.004965243296921549,0.0,0.033539276257722864,0.011218765935747067,0.0,0.026259147653895823
73,The Persistence of Memory,5,5,1,1,4,7,7,1,1,1,1,1,1,1,0,1,0,0,0,10000000.0,0.0047984644913627635,0.03121516164994426,0.013461538461538462,0.006454816285998014,0.006936416184971098,0.0057369814651368044,0.007649158592554819,0.005841121495327103,0.002582866982350409
74,The Persistence of Memory,8,1,3,3,4,14,10,0,1,0,0,1,0,0,1,1,0,0,0,30000000.0,0.036468330134357005,0.01226309921962096,0.06384615384615384,0.016385302879841114,0.016184971098265895,0.026478375992939104,0.0025497195308516064,0.005841121495327103,0.02023245802841154
76,The Persistence of Memory,9,5,1,3,4,4,4,0,0,1,0,1,0,1,0,1,0,0,0,10000.0,0.0780550223928343,0.006688963210702342,0.026153846153846156,0.005461767626613704,0.0011560693641618498,0.008384819064430716,0.0015298317185109638,0.0,0.010331467929401636
77,The Persistence of Memory,7,4,2,4,4,4,4,1,0,0,0,0,0,0,1,1,0,0,0,15.0,0.0012795905310300703,0.0033444816053511705,0.022307692307692306,0.008440913604766634,0.009248554913294798,0.04060017652250662,0.025497195308516064,0.008177570093457943,0.040895393887214804
78,The Persistence of Memory,7,4,2,4,4,5,9,0,1,0,0,0,0,0,1,0,1,0,0,10000.0,0.028790786948176574,0.030100334448160536,0.04384615384615386,0.026812313803376366,0.006936416184971098,0.022065313327449255,0.018867924528301886,0.005841121495327103,0.022815325010761948
79,The Persistence of Memory,7,3,3,4,4,3,5,0,1,0,0,0,0,0,1,1,0,0,0,1000000.0,0.07997440818937941,0.004459308807134894,0.0726923076923077,0.007944389275074478,0.005780346820809248,0.026919682259488095,0.0030596634370219276,0.0,0.01808006887645286
80,The Persistence of Memory,9,4,2,2,4,5,6,1,1,1,1,0,0,0,1,1,1,0,0,50.0,0.08029430582213691,0.002229654403567447,0.013076923076923076,0.012413108242303874,0.0,0.002206531332744925,0.010198878123406425,0.0,0.002152389151958674
81,The Persistence of Memory,6,4,2,3,4,3,5,0,1,1,0,0,0,0,1,0,0,0,1,200.0,0.016634676903390915,0.022296544035674472,0.06576923076923077,0.005958291956305858,0.02543352601156069,0.03574580759046779,0.005099439061703213,0.003504672897196261,0.02023245802841154
82,The Persistence of Memory,6,4,3,4,4,5,5,0,1,0,0,0,0,0,1,1,0,0,0,10.0,0.01599488163787588,0.005574136008918618,0.008846153846153846,0.012413108242303872,0.006936416184971098,0.0,0.010708822029576747,0.0,0.0
83,The Persistence of Memory,8,4,1,1,5,3,3,0,0,1,0,0,0,0,1,1,1,0,0,1000.0,0.07709532949456174,0.007803790412486065,0.00923076923076923,0.024826216484607748,0.013872832369942197,0.0057369814651368044,0.03212646608873024,0.002336448598130841,0.008609556607834697
84,The Persistence of Memory,5,3,2,2,3,2,5,0,0,1,0,1,0,0,0,1,0,0,0,100.0,0.09181062060140756,0.005574136008918618,0.07307692307692308,0.008937437934458788,0.0023121387283236996,0.040158870255957636,0.009178990311065782,0.0011682242990654205,0.036160137752905726
87,The Persistence of Memory,6,3,2,2,3,3,4,1,0,0,0,1,0,0,1,1,0,0,0,100.0,0.0003198976327575176,0.0011148272017837235,0.0011538461538461537,0.0,0.0,0.0,0.0,0.0,0.0
91,The Persistence of Memory,9,4,2,3,4,6,7,0,0,0,0,0,0,0,1,1,0,0,1,100000.0,0.09820857325655791,0.012263099219620958,0.0034615384615384616,0.021350546176762658,0.0011560693641618498,0.0,0.011728709841917389,0.002336448598130841,0.0
92,The Persistence of Memory,7,4,2,4,4,8,9,0,1,1,0,0,0,0,1,1,0,0,0,1000.0,0.007037747920665387,0.032329988851727984,0.016923076923076923,0.0019860973187686196,0.008092485549132947,0.00353045013239188,0.0,0.005841121495327103,0.0008609556607834697
93,The Persistence of Memory,9,5,4,1,5,3,3,0,1,0,0,0,0,0,1,0,0,1,0,0.0,0.0012795905310300703,0.002229654403567447,0.01076923076923077,0.0,0.0,0.007943512797881731,0.0,0.0011682242990654205,0.006026689625484288
94,The Persistence of Memory,6,4,2,3,4,5,5,0,1,0,0,0,0,0,1,1,0,0,0,250.0,0.017914267434420986,0.06577480490523968,0.004230769230769231,0.004965243296921549,0.015028901734104046,0.0,0.0,0.015186915887850466,0.0
95,The Persistence of Memory,7,2,1,2,4,8,4,1,0,0,0,1,1,0,0,0,0,0,1,20.0,0.037108125399872044,0.023411371237458196,0.12038461538461541,0.035253227408143,0.021965317919075144,0.06663724624889675,0.027536970933197347,0.010514018691588784,0.05639259578131726
96,The Persistence of Memory,8,5,1,2,4,4,3,0,1,1,0,0,0,0,1,1,1,0,0,250000.0,0.015355086372360847,0.008918617614269788,0.04653846153846154,0.06951340615690169,0.005780346820809248,0.05516328331862313,0.07904130545639979,0.018691588785046728,0.037882049074472665
97,The Persistence of Memory,7,4,2,2,4,6,4,0,1,0,0,0,0,0,1,0,0,0,1,100.0,0.004158669225847729,0.0011148272017837235,0.004230769230769231,0.0,0.0,0.0057369814651368044,0.0,0.0011682242990654205,0.0038743004735256135
98,The Persistence of Memory,8,5,3,4,4,5,6,0,1,0,0,0,0,0,1,0,0,0,1,15.0,0.009916826615483045,0.0033444816053511705,0.0026923076923076926,0.0029791459781529296,0.0011560693641618498,0.000441306266548985,0.005099439061703213,0.0,0.007318123116659492
99,The Persistence of Memory,8,5,1,2,5,4,4,0,0,1,0,0,0,0,1,1,1,0,0,50.0,0.13275751759436982,0.0011148272017837235,0.027692307692307693,0.027308838133068523,0.0011560693641618498,0.04236540158870256,0.009688934217236104,0.0011682242990654205,0.037882049074472665
101,The Persistence of Memory,4,4,3,4,2,6,8,0,0,1,0,0,0,0,1,1,0,0,0,1000000.0,0.0028790786948176585,0.042363433667781496,0.05384615384615385,0.0,0.011560693641618497,0.02118270079435128,0.0,0.009345794392523364,0.015066724063710719
102,The Persistence of Memory,8,5,2,3,4,8,7,0,1,0,0,1,0,0,1,0,0,0,1,10000.0,0.08253358925143954,0.042363433667781496,0.08269230769230769,0.007944389275074478,0.005780346820809248,0.05869373345101501,0.0025497195308516064,0.009345794392523364,0.04433921653034868
104,The Persistence of Memory,3,3,4,5,2,7,7,0,0,1,1,0,0,0,1,0,0,0,1,100.0,0.015355086372360846,0.0011148272017837235,0.0034615384615384616,0.02333664349553128,0.0,0.007943512797881731,0.021417644059153494,0.0,0.0185105467068446
105,The Persistence of Memory,3,3,4,2,4,4,4,0,1,0,0,1,0,0,0,1,0,0,0,1000000.0,0.002879078694817658,0.004459308807134894,0.037307692307692306,0.0029791459781529296,0.0,0.07105030891438659,0.001529831718510964,0.0011682242990654205,0.06629358588032716
107,The Persistence of Memory,8,4,2,2,5,5,4,0,1,0,0,0,0,0,1,1,0,0,0,100000.0,0.02559181062060141,0.0379041248606466,0.011538461538461539,0.013406156901688181,0.005780346820809248,0.007502206531332745,0.007649158592554819,0.009345794392523364,0.0012914334911752045
108,The Persistence of Memory,6,2,3,3,4,7,4,0,1,0,0,0,0,0,1,0,0,0,1,150.0,0.04638515674984006,0.004459308807134894,0.11653846153846155,0.02929493545183714,0.0,0.08737864077669906,0.016318204997450278,0.0035046728971962616,0.07318123116659492
109,The Persistence of Memory,9,4,2,2,5,5,7,0,0,1,1,1,0,0,0,1,0,0,0,5000.0,0.0003198976327575176,0.0011148272017837235,0.05653846153846154,0.0,0.0,0.021624007060900268,0.0,0.0,0.015497201894102454
110,The Persistence of Memory,9,5,2,4,3,3,3,0,0,1,1,0,0,0,1,1,0,0,0,200.0,0.09884836852207296,0.0011148272017837235,0.019230769230769232,0.014399205561072496,0.0023121387283236996,0.02162400706090026,0.010708822029576747,0.0011682242990654205,0.03314679294016358
112,The Persistence of Memory,5,4,3,4,2,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.11804222648752397,0.013377926421404682,0.07153846153846154,0.028798411122144988,0.008092485549132947,0.048984995586937335,0.021927587965323816,0.01985981308411215,0.0383125269048644
114,The Persistence of Memory,7,4,1,2,4,6,5,0,1,0,0,0,0,0,0,1,0,0,0,50.0,0.0003198976327575176,0.026755852842809364,0.0015384615384615385,0.0,0.006936416184971098,0.001323918799646955,0.0,0.010514018691588784,0.01248385708136031
117,The Persistence of Memory,7,5,2,3,4,5,6,1,0,0,0,0,0,0,1,0,0,1,0,0.0,0.010556621880998082,0.03121516164994426,0.07615384615384617,0.011420059582919563,0.038150289017341035,0.02912621359223301,0.004589495155532891,0.011682242990654203,0.02367628067154541
118,The Persistence of Memory,6,4,2,2,5,4,5,1,0,0,0,0,0,0,0,1,0,0,0,50.0,0.0873320537428023,0.025641025641025644,0.025769230769230777,0.08887785501489574,0.003468208092485549,0.014563106796116504,0.09178990311065782,0.0,0.015497201894102454
122,The Persistence of Memory,8,5,2,4,5,5,8,1,0,1,0,0,0,1,1,0,1,0,0,5000.0,0.019513755598208574,0.0379041248606466,0.02807692307692308,0.006951340615690168,0.005780346820809248,0.03045013239187997,0.0,0.009345794392523364,0.018510546706844596
123,The Persistence of Memory,4,5,3,4,2,4,3,0,1,0,1,0,0,1,1,1,0,0,0,175.0,0.10012795905310301,0.026755852842809364,0.026923076923076925,0.014895729890764648,0.09132947976878612,0.00529567519858782,0.009178990311065784,0.036214953271028034,0.004304778303917348
124,The Persistence of Memory,8,5,2,3,4,6,6,1,0,1,0,1,0,1,1,0,0,1,1,25.0,0.0067178502879078695,0.026755852842809364,0.04846153846153846,0.003475670307845084,0.09132947976878612,0.07105030891438659,0.0005099439061703213,0.036214953271028034,0.07016788635385278
125,The Persistence of Memory,7,4,2,3,4,7,4,0,1,0,0,1,0,0,0,0,0,0,1,700.0,0.038707613563659635,0.008918617614269788,0.0003846153846153846,0.01787487586891758,0.005780346820809248,0.0,0.00407955124936257,0.018691588785046728,0.0
126,The Persistence of Memory,4,4,1,3,5,4,6,0,1,1,0,0,0,0,1,1,0,0,0,150.0,0.06909788867562379,0.004459308807134894,0.046923076923076935,0.041211519364448855,0.003468208092485549,0.04148278905560459,0.040285568587455384,0.0,0.03616013775290572
127,The Persistence of Memory,5,4,2,3,5,4,5,0,1,0,0,0,0,0,1,1,0,0,0,20.0,0.005118362124120281,0.017837235228539576,0.02884615384615385,0.0009930486593843098,0.021965317919075144,0.01897616946160636,0.001529831718510964,0.0011682242990654205,0.022815325010761944
130,The Persistence of Memory,8,4,2,1,5,6,3,1,0,0,0,0,0,0,1,0,0,1,0,30.0,0.0003198976327575176,0.002229654403567447,0.0015384615384615385,0.0009930486593843098,0.0,0.0,0.0,0.002336448598130841,0.0
131,The Persistence of Memory,8,4,1,1,5,3,5,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0.11356365962891876,0.010033444816053512,0.011153846153846155,0.011916583912611717,0.020809248554913295,0.008384819064430716,0.0015298317185109638,0.007009345794392523,0.021093413689195005
132,The Persistence of Memory,7,4,2,5,2,3,4,0,0,0,0,1,1,1,1,1,1,0,0,800.0,0.014075495841330773,0.03678929765886288,0.0726923076923077,0.003972194637537239,0.006936416184971098,0.034863195057369824,0.006629270780214176,0.010514018691588784,0.030994403788204908
134,The Persistence of Memory,3,4,2,3,4,5,5,0,0,1,0,1,0,0,0,0,0,0,1,50.0,0.09341010876519512,0.0858416945373467,0.06115384615384617,0.06901688182720954,0.017341040462427744,0.06398940864960283,0.07343192248852626,0.018691588785046728,0.060697374085234616
135,The Persistence of Memory,7,4,2,3,5,5,6,1,0,0,0,1,1,0,0,1,1,0,0,50.0,0.04830454254638515,0.026755852842809364,0.07153846153846154,0.03972194637537239,0.09132947976878612,0.0410414827890556,0.025497195308516067,0.036214953271028034,0.03788204907447266
138,The Persistence of Memory,8,4,2,3,4,4,5,1,0,0,0,1,0,0,0,0,1,0,0,100.0,0.07901471529110686,0.006688963210702341,0.028846153846153848,0.004965243296921549,0.0023121387283236996,0.009267431597528686,0.0015298317185109638,0.0011682242990654205,0.013775290572535515
139,The Persistence of Memory,6,4,2,3,2,5,5,0,1,0,0,0,0,0,1,1,0,0,0,10.0,0.001599488163787588,0.004459308807134894,0.005384615384615384,0.0014895729890764648,0.0,0.003089143865842895,0.014788373278939317,0.0011682242990654205,0.0008609556607834697
140,The Persistence of Memory,8,5,2,3,3,9,9,0,1,1,1,1,1,1,1,1,1,0,0,200.0,0.10044785668586054,0.03567447045707915,0.005384615384615385,0.007944389275074478,0.006936416184971098,0.0052956751985878195,0.006119326874043856,0.005841121495327103,0.006026689625484288
141,The Persistence of Memory,8,5,1,2,5,8,9,1,0,0,0,0,1,0,0,1,1,0,0,10000000.0,0.1583493282149712,0.03901895206243032,0.02384615384615385,0.013406156901688183,0.005780346820809248,0.01500441306266549,0.018357980622131564,0.009345794392523364,0.0185105467068446
142,The Persistence of Memory,8,4,3,3,2,5,5,0,0,1,0,0,1,0,1,0,1,0,0,7000.0,0.03742802303262956,0.006688963210702341,0.07884615384615384,0.08242303872889774,0.0,0.05516328331862312,0.07394186639469656,0.0,0.04778303917348256
